loggingTime,loggingSample,tripID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationSpeed,activity,activityActivityConfidence,activityActivityStartDate,restLatitude,restLongitude,destLatitude,destLongitude,restDistance,destDistance,label
1539481265.78296,1,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481263.998324,37.773699006100905,-121.9252958894911,0,6,2,1539481264.410332,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.444825805715909,1.1142217505001644,preWait
1539481266.8019881,2,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481265.998319,37.77368345767052,-121.9252751861903,0.21,6,2,1539481264.410332,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.448056420335168,1.1179313034222451,preWait
1539481267.789885,3,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481265.998319,37.77368345767052,-121.9252751861903,0.21,6,2,1539481264.410332,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.448056420335168,1.1179313034222451,preWait
1539481268.8023,4,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481267.998315,37.773691755754655,-121.9252702408674,0.63,6,2,1539481264.410332,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481269.796629,5,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481267.998315,37.773691755754655,-121.9252702408674,0.63,6,2,1539481264.410332,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481270.803637,6,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481269.998311,37.773691755754655,-121.9252702408674,0,6,0,1539481269.863004,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481271.803533,7,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481269.998311,37.773691755754655,-121.9252702408674,0,6,0,1539481269.863004,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481272.8066099,8,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481271.998306,37.773691755754655,-121.9252702408674,0,6,0,1539481269.863004,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481273.8102589,9,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481271.998306,37.773691755754655,-121.9252702408674,0,6,0,1539481273.716152,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481274.8134284,10,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481273.998302,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481275.8174741,11,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481273.998302,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481276.820415,12,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481275.998298,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481277.8426962,13,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481275.998298,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481278.826959,14,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481277.998293,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481279.842971,15,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481277.998293,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481280.8339946,16,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481279.998289,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481281.841409,17,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481279.998289,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481282.840683,18,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481281.998284,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481283.843894,19,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481281.998284,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
1539481284.847419,20,1a5c54a4-932c-48c1-8793-750d2b7da835,1539481283.99828,37.773691755754655,-121.9252702408674,0,6,2,1539481274.6822462,37.79813660000001,-121.92340490000001,37.773794099999996,-121.93163329999999,5.446161981881233,1.1187612786517285,preWait
