loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,deviceOrientation,label
1539481265.78296,1,0,0,1539481263.998324,37.77369900610091,-121.9252958894911,165.9622,0,95.2734375,4,5,-9999,1539481265.101107,-41.77725982666016,-35.08378601074219,6.324723243713379,117.6480941772461,104.2921295166016,10,18454.239992375,6,2,1539481264.410332,18453.156911,0,-18.60193,99.02435,1,0
1539481266.801988,2,0,0,1539481265.998319,37.77368345767052,-121.9252751861903,166.1626,0.21,95.2734375,4,5,-9999,1539481266.104468,-41.28146362304688,-34.96697616577148,12.57067584991455,127.9233551025391,114.5673904418945,10,18454.239992375,6,2,1539481264.410332,18454.110044,0,-18.60193,99.02435,1,0
1539481267.789885,3,0,0,1539481265.998319,37.77368345767052,-121.9252751861903,166.1626,0.21,95.2734375,4,5,-9999,1539481267.107861,-41.67462921142578,-34.46986389160156,15.01195240020752,132.8437042236328,119.4877395629883,10,18454.239992375,6,2,1539481264.410332,18455.063298,0,-18.60722,99.02441,1,0
1539481268.8023,4,0,0,1539481267.998315,37.77369175575466,-121.9252702408674,166.5744,0.63,95.2734375,4,5,-9999,1539481268.111162,102.6138305664062,59.00535583496094,25.32082748413086,346.8584899902344,333.5025329589844,10,18454.239992375,6,2,1539481264.410332,18456.016908,0,-18.60722,99.02441,5,0
1539481269.796629,5,0,0,1539481267.998315,37.77369175575466,-121.9252702408674,166.5744,0.63,95.2734375,4,5,-9999,1539481269.114682,108.0246276855469,23.28034400939941,-7.148701667785645,316.1052551269531,302.7492980957031,10,18454.239992375,6,2,1539481264.410332,18456.969789,0,-18.67856,99.02525,5,0
1539481270.803637,6,0,0,1539481269.998311,37.77369175575466,-121.9252702408674,165.4126,0,95.2734375,4,5,-9999,1539481270.118199,108.0894470214844,23.2444019317627,-7.340727806091309,316.1036987304688,302.7477416992188,10,18459.69266479167,6,0,1539481269.863004,18457.922361,0,-18.79747,99.02666,5,0
1539481271.803533,7,0,0,1539481269.998311,37.77369175575466,-121.9252702408674,165.4126,0,95.2734375,4,5,-9999,1539481271.121504,108.208740234375,23.2700138092041,-7.161595821380615,316.1054992675781,302.7495422363281,10,18459.69266479167,6,0,1539481269.863004,18458.874865,0,-18.90579,99.02792,5,0
1539481272.80661,8,0,0,1539481271.998306,37.77369175575466,-121.9252702408674,165.4705,0,95.2734375,4,5,-9999,1539481272.125132,108.3494567871094,23.17408561706543,-7.369173049926758,316.1044311523438,302.7484741210938,10,18459.69266479167,6,0,1539481269.863004,18459.82732,0,-18.99828,99.02901,5,0
1539481273.810259,9,0,0,1539481271.998306,37.77369175575466,-121.9252702408674,165.4705,0,95.2734375,4,5,-9999,1539481273.128327,108.1940460205078,23.07352256774902,-7.363997459411621,316.1062316894531,302.7502746582031,10,18463.545812,6,0,1539481273.716152,18460.780253,0,-19.00621,99.02913,5,0
1539481274.813429,10,0,0,1539481273.998302,37.77369175575466,-121.9252702408674,165.6785,0,95.2734375,3,5,-9999,1539481274.131775,108.1853485107422,23.17047119140625,-7.105799198150635,316.1116943359375,302.7557373046875,10,18464.511906,6,2,1539481274.682246,18461.733173,0,-19.00621,99.02913,5,0
1539481275.817474,11,0,0,1539481273.998302,37.77369175575466,-121.9252702408674,165.6785,0,95.2734375,3,5,-9999,1539481275.135062,108.2656860351562,23.10210418701172,-7.495202541351318,316.111328125,302.75537109375,10,18464.511906,6,2,1539481274.682246,18462.685431,0,-18.95601,99.02852,5,0
1539481276.820415,12,0,0,1539481275.998298,37.77369175575466,-121.9252702408674,165.4453,0,95.2734375,3,5,-9999,1539481276.138455,108.1773223876953,23.03930854797363,-7.01449728012085,316.1127014160156,302.7567443847656,10,18464.511906,6,2,1539481274.682246,18463.63756,0,-18.94016,99.02834,5,0
