loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,deviceOrientation,label
1539477689.503326,13,0,0,1539477688.99996,37.76690149217636,-121.958777653167,131.7543,1.33,233.7890625,4,5,-9999,1539477688.951586,-29.46671867370605,-31.68288993835449,15.94119358062744,236.3426361083984,222.9941101074219,15,14877.88722241667,1,2,1539477688.057562,14876.66545,0,-44.28792,99.32761,1,0
1539477690.508799,14,0,0,1539477688.99996,37.76690149217636,-121.958777653167,131.7543,1.33,233.7890625,4,5,-9999,1539477689.954992,-38.82737731933594,-25.35002708435059,4.72246265411377,252.2262725830078,238.8777465820312,15,14877.88722241667,1,2,1539477688.057562,14877.613876,0,-44.34605,99.32829,1,0
1539477691.511506,15,0,0,1539477690.999958,37.76689126625449,-121.9588209876064,131.8775,2.25,265.78125,4,5,-9999,1539477690.958551,-46.97195434570312,-5.774816513061523,-0.5172767639160156,268.4208679199219,255.0723571777344,15,14881.10322029167,3,2,1539477691.27356,14878.562189,0,-44.35927,99.32844,1,0
1539477692.51615,16,0,0,1539477690.999958,37.76689126625449,-121.9588209876064,131.8775,2.25,265.78125,4,5,-9999,1539477691.961482,-46.01086044311523,9.045633316040039,-8.477794647216797,274.1441955566406,260.7956848144531,15,14881.10322029167,3,2,1539477691.27356,14879.510394,0,-44.35927,99.32844,1,0
1539477693.531636,17,0,0,1539477692.999957,37.76689101479739,-121.9588447922114,131.7765,1.34,279.4921875,4,5,-9999,1539477692.964808,-45.66225051879883,9.297779083251953,-9.796232223510742,290.4468994140625,277.098388671875,15,14881.10322029167,3,2,1539477691.27356,14880.458552,0,-44.34605,99.32828,1,0
1539477694.551182,18,0,0,1539477692.999957,37.76689101479739,-121.9588447922114,131.7765,1.34,279.4921875,4,5,-9999,1539477693.968152,-47.30544281005859,0.8560373783111572,-3.289965629577637,274.4326477050781,261.0841369628906,15,14881.10322029167,3,2,1539477691.27356,14881.406631,0,-44.34077,99.32823,1,0
1539477695.55097,19,0,0,1539477694.999955,37.76689009278805,-121.9588383381459,131.982,0.75,250.6640625,4,5,-9999,1539477694.971467,-44.4249267578125,-14.18650054931641,-0.1745681762695312,274.5697326660156,261.2212219238281,15,14881.10322029167,3,2,1539477691.27356,14882.354953,0,-44.29057,99.32764,1,0
1539477696.554741,20,0,0,1539477694.999955,37.76689009278805,-121.9588383381459,131.982,0.75,250.6640625,4,5,-9999,1539477695.974789,-39.13643646240234,-23.26358795166016,7.28249454498291,270.4121704101562,257.0636596679688,15,14881.10322029167,3,2,1539477691.27356,14883.303217,0,-44.25887,99.32725,1,0
1539477697.551288,21,0,0,1539477696.999953,37.76688715912194,-121.9588526712004,131.9742,0.75,265.78125,4,5,-9999,1539477696.97803,-43.49082183837891,-14.49672889709473,3.875788688659668,271.0367431640625,257.688232421875,15,14881.10322029167,3,2,1539477691.27356,14884.251444,0,-44.23772,99.32703,1,0
1539477698.563867,22,0,0,1539477696.999953,37.76688715912194,-121.9588526712004,131.9742,0.75,265.78125,4,5,-9999,1539477697.981332,-45.31013107299805,6.659309864044189,-6.017470359802246,289.5672607421875,276.21875,15,14881.10322029167,3,2,1539477691.27356,14885.199229,0,-44.22716,99.32688,1,0
