loggingTime,loggingSample,identifierForVendor,deviceID,locationTimestamp_since1970,locationLatitude,locationLongitude,locationAltitude,locationSpeed,locationCourse,locationVerticalAccuracy,locationHorizontalAccuracy,locationFloor,locationHeadingTimestamp_since1970,locationHeadingX,locationHeadingY,locationHeadingZ,locationTrueHeading,locationMagneticHeading,locationHeadingAccuracy,activityTimestamp_sinceReboot,activity,activityActivityConfidence,activityActivityStartDate,altimeterTimestamp_sinceReboot,altimeterReset,altimeterRelativeAltitude,altimeterPressure,deviceOrientation,label
1539476587.857023,1,0,0,1539476587.000849,37.77382062751592,-121.9315928780678,179.061,0.15,195.1171875,3,10,-9999,1539476587.123967,25.327392578125,-28.02917098999023,5.590025901794434,238.5675354003906,225.2190093994141,15,13776.26787316667,1,2,1539476586.438213,13775.193345,0,0,98.80518,1,0
1539476588.859392,2,0,0,1539476587.000849,37.77382062751592,-121.9315928780678,179.061,0.15,195.1171875,3,10,-9999,1539476588.127304,25.05686569213867,-28.32466697692871,3.147294044494629,245.3634948730469,232.0149688720703,15,13776.26787316667,1,2,1539476586.438213,13776.223377,0,0,98.80518,1,0
1539476589.862633,3,0,0,1539476589.000719,37.77382062751592,-121.9315928780678,179.1375,0,195.1171875,3,10,-9999,1539476589.130535,27.56824111938477,-27.54667854309082,-0.8242073059082031,254.5480499267578,241.1995239257812,15,13776.26787316667,1,2,1539476586.438213,13777.253333,0,0,98.80518,1,0
1539476590.865732,4,0,0,1539476589.000719,37.77382062751592,-121.9315928780678,179.1375,0,195.1171875,3,10,-9999,1539476590.133943,27.64881896972656,-34.11393356323242,-8.598201751708984,244.3029632568359,230.9544372558594,15,13776.26787316667,1,2,1539476586.438213,13778.283061,0,0,98.80518,1,0
1539476591.86934,5,0,0,1539476591.000605,37.77382062751592,-121.9315928780678,179.2091,0,195.1171875,3,10,-9999,1539476591.137313,26.17986679077148,-35.60742950439453,-14.7859992980957,244.522216796875,231.1736907958984,15,13776.26787316667,1,2,1539476586.438213,13778.424623,0,0.03962708,98.80472,1,0
1539476592.882453,6,0,0,1539476591.000605,37.77382062751592,-121.9315928780678,179.2091,0,195.1171875,3,10,-9999,1539476592.141305,18.26112747192383,-40.58572387695312,-14.25716114044189,239.4870300292969,226.1385040283203,15,13776.26787316667,1,2,1539476586.438213,13779.377769,0,0.04492188,98.80466,1,0
1539476594.012506,7,0,0,1539476593.000504,37.77382062751592,-121.9315928780678,179.3201,0,195.1171875,3,10,-9999,1539476593.143665,17.94638061523438,-41.32369232177734,-12.08496570587158,218.5363464355469,205.1878204345703,15,13776.26787316667,1,2,1539476586.438213,13780.330787,0,0.04492188,98.80466,1,0
1539476594.879724,8,0,0,1539476593.000504,37.77382062751592,-121.9315928780678,179.3201,0,195.1171875,3,10,-9999,1539476594.147439,41.13896942138672,-22.90236282348633,5.564692497253418,202.5123138427734,189.1637878417969,15,13776.26787316667,1,2,1539476586.438213,13782.237346,0,0.05020142,98.8046,1,0
1539476595.904584,9,0,0,1539476595.000417,37.77382062751592,-121.9315928780678,179.3341,0,195.1171875,3,10,-9999,1539476595.150768,42.55504989624023,-23.27756500244141,10.99305629730225,204.7159881591797,191.3674621582031,15,13776.26787316667,1,2,1539476586.438213,13783.190699,0,0.01321411,98.80505,1,0
1539476596.886531,10,0,0,1539476595.000417,37.77382062751592,-121.9315928780678,179.3341,0,195.1171875,3,10,-9999,1539476596.154131,45.06758117675781,-2.219034194946289,9.766848564147949,225.8479309082031,212.4994049072266,15,13776.26787316667,1,2,1539476586.438213,13784.143668,0,-0.0660553,98.80596,1,0
1539476597.889757,11,0,0,1539476597.000338,37.77382062751592,-121.9315928780678,179.3026,0,195.1171875,3,10,-9999,1539476597.157508,-1.034207820892334,45.08789825439453,6.128155708312988,134.7425842285156,121.3940582275391,15,13787.185839125,1,2,1539476597.356179,13785.096412,0,-0.07398987,98.80605,1,0
1539476598.893254,12,0,0,1539476597.000338,37.77382062751592,-121.9315928780678,179.3026,0,195.1171875,3,10,-9999,1539476598.160812,-9.554262161254883,38.1522216796875,23.5173454284668,157.5202941894531,144.1717681884766,15,13787.185839125,1,2,1539476597.356179,13786.04902,0,-0.155899,98.80703,1,0
1539476599.896535,13,0,0,1539476599.00027,37.77382062751592,-121.9315928780678,179.3392,0,195.1171875,3,10,-9999,1539476599.164228,-41.03589630126953,17.67462348937988,8.842320442199707,263.3887634277344,250.0402526855469,15,13787.185839125,1,2,1539476597.356179,13787.001489,0,-0.1691132,98.80718,1,0
1539476600.899874,14,0,0,1539476599.00027,37.77382062751592,-121.9315928780678,179.3392,0,195.1171875,3,10,-9999,1539476600.167559,-39.11297225952148,19.95342826843262,-6.741763114929199,283.1366882324219,269.7881774902344,15,13787.185839125,1,2,1539476597.356179,13787.953844,0,-0.1691132,98.80718,1,0
1539476601.955126,15,0,0,1539476601.00021,37.77382062751592,-121.9315928780678,179.3474,0,195.1171875,3,10,-9999,1539476601.170937,-36.82570648193359,22.51053619384766,-11.75991821289062,290.2754821777344,276.9269714355469,15,13787.185839125,1,2,1539476597.356179,13788.906127,0,-0.2325287,98.80792,1,0
1539476602.913837,16,0,0,1539476601.00021,37.77382062751592,-121.9315928780678,179.3474,0,195.1171875,3,10,-9999,1539476602.18109,-34.699462890625,19.17319488525391,-19.27577972412109,297.1557006835938,283.8071899414062,15,13792.007355,1,2,1539476602.177695,13789.858314,0,-0.1585388,98.80706,1,0
